x	y	RR	N_pairs	N_x	N_y	N_total	date	RR_xx	N_diag.x	RR_yy	N_diag.y	nRR	nRR_fixed
0-4	0-4	4.756242568370987e-5	0	145	145	82614	2020-03-01	NA	0	NA	0	NA	4.632448704051875e-5
0-4	12-17	2.9674688697318006	3	145	576	82614	2020-03-01	NA	0	3.4860779562114197	14	NA	2.8902325990096815
0-4	18-24	2.718282771782048	20	145	4192	82614	2020-03-01	NA	0	2.8583452873703457	608	NA	2.647532232087387
0-4	25-64	1.1429985186801288	104	145	51841	82614	2020-03-01	NA	0	1.026723202398514	33400	NA	1.113248941886173
0-4	5-11	1.6186226489028213	2	145	704	82614	2020-03-01	NA	0	1.0001392206869835	6	NA	1.576493688972431
0-4	65-80	0.43899130668896086	15	145	19468	82614	2020-03-01	NA	0	1.1622541803254847	5332	NA	0.42756539022731666
0-4	80+	0.10016853387652165	1	145	5688	82614	2020-03-01	NA	0	1.6699836962757235	654	NA	0.09756138133678026
12-17	0-4	2.9674688697318006	3	576	145	82614	2020-03-01	3.4860779562114197	14	NA	0	NA	2.8902325990096815
12-17	12-17	3.4860779562114197	14	576	576	82614	2020-03-01	3.4860779562114197	14	3.4860779562114197	14	1	3.3953435045274527
12-17	18-24	1.4712228815468618	43	576	4192	82614	2020-03-01	3.4860779562114197	14	2.8583452873703457	608	0.46378459477311856	1.4329303926413255
12-17	25-64	1.0209022874965974	369	576	51841	82614	2020-03-01	3.4860779562114197	14	1.026723202398514	33400	0.4524472723770809	0.9943305898918828
12-17	5-11	1.2223923808396464	6	576	704	82614	2020-03-01	3.4860779562114197	14	1.0001392206869835	6	0.5449546166129929	1.1905763675974521
12-17	65-80	0.8030385154840992	109	576	19468	82614	2020-03-01	3.4860779562114197	14	1.1622541803254847	5332	0.345516839974511	0.7821373020577814
12-17	80+	0.8069037276332239	32	576	5688	82614	2020-03-01	3.4860779562114197	14	1.6699836962757235	654	0.3129922727917715	0.7859019117793649
18-24	0-4	2.718282771782048	20	4192	145	82614	2020-03-01	2.8583452873703457	608	NA	0	NA	2.647532232087387
18-24	12-17	1.4712228815468618	43	4192	576	82614	2020-03-01	2.8583452873703457	608	3.4860779562114197	14	0.46378459477311856	1.4329303926413255
18-24	18-24	2.8583452873703457	608	4192	4192	82614	2020-03-01	2.8583452873703457	608	2.8583452873703457	608	1	2.7839492481449764
18-24	25-64	1.012728958120772	2664	4192	51841	82614	2020-03-01	2.8583452873703457	608	1.026723202398514	33400	0.5213441980689631	0.9863699931538994
18-24	5-11	1.063759501322866	38	4192	704	82614	2020-03-01	2.8583452873703457	608	1.0001392206869835	6	0.55138720868336355	1.0360723307292872
18-24	65-80	0.6741946095334368	666	4192	19468	82614	2020-03-01	2.8583452873703457	608	1.1622541803254847	5332	0.33537019290300596	0.6566469014808081
18-24	80+	0.5301078724058148	153	4192	5688	82614	2020-03-01	2.8583452873703457	608	1.6699836962757235	654	0.23412957597395603	0.5163104049537763
25-64	0-4	1.1429985186801288	104	51841	145	82614	2020-03-01	1.026723202398514	33400	NA	0	NA	1.113248941886173
25-64	12-17	1.0209022874965974	369	51841	576	82614	2020-03-01	1.026723202398514	33400	3.4860779562114197	14	0.4524472723770809	0.9943305898918828
25-64	18-24	1.012728958120772	2664	51841	4192	82614	2020-03-01	1.026723202398514	33400	2.8583452873703457	608	0.5213441980689631	0.9863699931538994
25-64	25-64	1.026723202398514	33400	51841	51841	82614	2020-03-01	1.026723202398514	33400	1.026723202398514	33400	1	1
25-64	5-11	1.014111357323354	448	51841	704	82614	2020-03-01	1.026723202398514	33400	1.0001392206869835	6	1.0006711316691834	0.9877164117400896
25-64	65-80	0.9504484524358031	11611	51841	19468	82614	2020-03-01	1.026723202398514	33400	1.1622541803254847	5332	0.8683949500227817	0.9257105032938513
25-64	80+	0.9091496899898209	3245	51841	5688	82614	2020-03-01	1.026723202398514	33400	1.6699836962757235	654	0.6742665956294913	0.8854866509941227
5-11	0-4	1.6186226489028213	2	704	145	82614	2020-03-01	1.0001392206869835	6	NA	0	NA	1.576493688972431
5-11	12-17	1.2223923808396464	6	704	576	82614	2020-03-01	1.0001392206869835	6	3.4860779562114197	14	0.5449546166129929	1.1905763675974521
5-11	18-24	1.063759501322866	38	704	4192	82614	2020-03-01	1.0001392206869835	6	2.8583452873703457	608	0.55138720868336355	1.0360723307292872
5-11	25-64	1.014111357323354	448	704	51841	82614	2020-03-01	1.0001392206869835	6	1.026723202398514	33400	1.0006711316691834	0.9877164117400896
5-11	5-11	1.0001392206869835	6	704	704	82614	2020-03-01	1.0001392206869835	6	1.0001392206869835	6	1	0.9741079371251881
5-11	65-80	1.0126723837019258	168	704	19468	82614	2020-03-01	1.0001392206869835	6	1.1622541803254847	5332	0.9366217851273277	0.9863148912347902
5-11	80+	0.7427181726281805	36	704	5688	82614	2020-03-01	1.0001392206869835	6	1.6699836962757235	654	0.5563175896584045	0.723386956575177
65-80	0-4	0.43899130668896086	15	19468	145	82614	2020-03-01	1.1622541803254847	5332	NA	0	NA	0.42756539022731666
65-80	12-17	0.8030385154840992	109	19468	576	82614	2020-03-01	1.1622541803254847	5332	3.4860779562114197	14	0.345516839974511	0.7821373020577814
65-80	18-24	0.6741946095334368	666	19468	4192	82614	2020-03-01	1.1622541803254847	5332	2.8583452873703457	608	0.33537019290300596	0.6566469014808081
65-80	25-64	0.9504484524358031	11611	19468	51841	82614	2020-03-01	1.1622541803254847	5332	1.026723202398514	33400	0.8683949500227817	0.9257105032938513
65-80	5-11	1.0126723837019258	168	19468	704	82614	2020-03-01	1.1622541803254847	5332	1.0001392206869835	6	0.9366217851273277	0.9863148912347902
65-80	65-80	1.1622541803254847	5332	19468	19468	82614	2020-03-01	1.1622541803254847	5332	1.1622541803254847	5332	1	1.1320034237176666
65-80	80+	1.1690732539705246	1567	19468	5688	82614	2020-03-01	1.1622541803254847	5332	1.6699836962757235	654	0.8255473621258511	1.138645012832542
80+	0-4	0.10016853387652165	1	5688	145	82614	2020-03-01	1.6699836962757235	654	NA	0	NA	0.09756138133678026
80+	12-17	0.8069037276332239	32	5688	576	82614	2020-03-01	1.6699836962757235	654	3.4860779562114197	14	0.3129922727917715	0.7859019117793649
80+	18-24	0.5301078724058148	153	5688	4192	82614	2020-03-01	1.6699836962757235	654	2.8583452873703457	608	0.23412957597395603	0.5163104049537763
80+	25-64	0.9091496899898209	3245	5688	51841	82614	2020-03-01	1.6699836962757235	654	1.026723202398514	33400	0.6742665956294913	0.8854866509941227
