x	y	RR	N_pairs	N_x	N_y	N_total	nRR_fixed	season_date	season	season_label
18-24	5-11	1.236823108130207	72	4398	812	61346	1.0177067851428248	2023-10-15	Sep-Nov	Sep-Nov 2023
18-24	65-80	0.6291503499610447	557	4398	12349	61346	0.5176896969513373	2023-10-15	Sep-Nov	Sep-Nov 2023
18-24	80+	0.4033123469953974	323	4398	11171	61346	0.3318612899217296	2023-10-15	Sep-Nov	Sep-Nov 2023
25-64	0-4	1.0668014888787742	460	30335	872	61346	0.8778062978413399	2023-10-15	Sep-Nov	Sep-Nov 2023
25-64	12-17	1.080752486751034	753	30335	1409	61346	0.8892857285705863	2023-10-15	Sep-Nov	Sep-Nov 2023
25-64	18-24	1.112302458832262	2419	30335	4398	61346	0.9152462886919712	2023-10-15	Sep-Nov	Sep-Nov 2023
25-64	25-64	1.215303981644017	18230	30335	30335	61346	1	2023-10-15	Sep-Nov	Sep-Nov 2023
25-64	5-11	1.1281956981197645	453	30335	812	61346	0.9283238721834716	2023-10-15	Sep-Nov	Sep-Nov 2023
25-64	65-80	0.812090761859001	4959	30335	12349	61346	0.66822027585266	2023-10-15	Sep-Nov	Sep-Nov 2023
25-64	80+	0.5541323835320436	3061	30335	11171	61346	0.4559619584084917	2023-10-15	Sep-Nov	Sep-Nov 2023
5-11	0-4	3.552202908211687	41	812	872	61346	2.9228925123790033	2023-10-15	Sep-Nov	Sep-Nov 2023
5-11	12-17	2.8954303265076375	54	812	1409	61346	2.3824741548125346	2023-10-15	Sep-Nov	Sep-Nov 2023
5-11	18-24	1.236823108130207	72	812	4398	61346	1.0177067851428248	2023-10-15	Sep-Nov	Sep-Nov 2023
5-11	25-64	1.1281956981197645	453	812	30335	61346	0.9283238721834716	2023-10-15	Sep-Nov	Sep-Nov 2023
5-11	5-11	2.7912303744327693	30	812	812	61346	2.2967343286877897	2023-10-15	Sep-Nov	Sep-Nov 2023
5-11	65-80	0.7219057445468351	118	812	12349	61346	0.5940124902497798	2023-10-15	Sep-Nov	Sep-Nov 2023
5-11	80+	0.2975712755538289	44	812	11171	61346	0.24485337006078578	2023-10-15	Sep-Nov	Sep-Nov 2023
65-80	0-4	0.6437488716911298	113	12349	872	61346	0.5297019358237359	2023-10-15	Sep-Nov	Sep-Nov 2023
65-80	12-17	0.6628287742903759	188	12349	1409	61346	0.5454016314451026	2023-10-15	Sep-Nov	Sep-Nov 2023
65-80	18-24	0.6291503499610447	557	12349	4398	61346	0.5176896969513373	2023-10-15	Sep-Nov	Sep-Nov 2023
65-80	25-64	0.812090761859001	4959	12349	30335	61346	0.66822027585266	2023-10-15	Sep-Nov	Sep-Nov 2023
65-80	5-11	0.7219057445468351	118	12349	812	61346	0.5940124902497798	2023-10-15	Sep-Nov	Sep-Nov 2023
65-80	65-80	1.3926748556852961	3462	12349	12349	61346	1.1459477437088115	2023-10-15	Sep-Nov	Sep-Nov 2023
65-80	80+	1.3127401351899108	2952	12349	11171	61346	1.0801743061962867	2023-10-15	Sep-Nov	Sep-Nov 2023
80+	0-4	0.37785840056042885	60	11171	872	61346	0.3109167798901443	2023-10-15	Sep-Nov	Sep-Nov 2023
80+	12-17	0.30790049440471146	79	11171	1409	61346	0.2533526583103886	2023-10-15	Sep-Nov	Sep-Nov 2023
80+	18-24	0.4033123469953974	323	11171	4398	61346	0.3318612899217296	2023-10-15	Sep-Nov	Sep-Nov 2023
80+	25-64	0.5541323835320436	3061	11171	30335	61346	0.4559619584084917	2023-10-15	Sep-Nov	Sep-Nov 2023
80+	5-11	0.2975712755538289	44	11171	812	61346	0.24485337006078578	2023-10-15	Sep-Nov	Sep-Nov 2023
80+	65-80	1.3127401351899108	2952	11171	12349	61346	1.0801743061962867	2023-10-15	Sep-Nov	Sep-Nov 2023
80+	80+	2.286871984869515	4652	11171	11171	61346	1.881728373650123	2023-10-15	Sep-Nov	Sep-Nov 2023
0-4	0-4	3.6396798613537706	104	1306	1306	59692	3.281769264961907	2024-01-15	Dec-Feb	Dec-Feb 2024
0-4	12-17	1.7879297650193113	55	1306	1406	59692	1.6121123764353578	2024-01-15	Dec-Feb	Dec-Feb 2024
0-4	18-24	1.1062594005130657	95	1306	3925	59692	0.9974745686365426	2024-01-15	Dec-Feb	Dec-Feb 2024
0-4	25-64	0.9306559179202254	726	1306	35655	59692	0.8391391836724631	2024-01-15	Dec-Feb	Dec-Feb 2024
0-4	5-11	3.571652016521848	64	1306	819	59692	3.2204309882905178	2024-01-15	Dec-Feb	Dec-Feb 2024
0-4	65-80	0.8481234760988005	183	1306	9862	59692	0.7647226302256261	2024-01-15	Dec-Feb	Dec-Feb 2024
0-4	80+	0.5373973192521402	79	1306	6719	59692	0.48455195857215394	2024-01-15	Dec-Feb	Dec-Feb 2024
12-17	0-4	1.7879297650193113	55	1406	1306	59692	1.6121123764353578	2024-01-15	Dec-Feb	Dec-Feb 2024
12-17	12-17	3.3215304658555387	110	1406	1406	59692	2.9949053242899493	2024-01-15	Dec-Feb	Dec-Feb 2024
12-17	18-24	1.1898272191064683	110	1406	3925	59692	1.0728246843188967	2024-01-15	Dec-Feb	Dec-Feb 2024
12-17	25-64	0.9656755420256516	811	1406	35655	59692	0.870715127282229	2024-01-15	Dec-Feb	Dec-Feb 2024
12-17	5-11	3.0065956644904013	58	1406	819	59692	2.7109398682724613	2024-01-15	Dec-Feb	Dec-Feb 2024
12-17	65-80	0.7232278415101372	168	1406	9862	59692	0.6521086997332518	2024-01-15	Dec-Feb	Dec-Feb 2024
12-17	80+	0.5939557616381392	94	1406	6719	59692	0.5355486849236448	2024-01-15	Dec-Feb	Dec-Feb 2024
18-24	0-4	1.1062594005130657	95	3925	1306	59692	0.9974745686365426	2024-01-15	Dec-Feb	Dec-Feb 2024
18-24	12-17	1.1898272191064683	110	3925	1406	59692	1.0728246843188967	2024-01-15	Dec-Feb	Dec-Feb 2024
18-24	18-24	1.5963717797882266	412	3925	3925	59692	1.4393913865855592	2024-01-15	Dec-Feb	Dec-Feb 2024
18-24	25-64	1.070606196860036	2510	3925	35655	59692	0.9653273489900266	2024-01-15	Dec-Feb	Dec-Feb 2024
18-24	5-11	0.705628893399594	38	3925	819	59692	0.636240357130351	2024-01-15	Dec-Feb	Dec-Feb 2024
18-24	65-80	0.794179576241302	515	3925	9862	59692	0.7160833434399265	2024-01-15	Dec-Feb	Dec-Feb 2024
18-24	80+	0.5545464662905744	245	3925	6719	59692	0.5000147316222301	2024-01-15	Dec-Feb	Dec-Feb 2024
25-64	0-4	0.9306559179202254	726	35655	1306	59692	0.8391391836724631	2024-01-15	Dec-Feb	Dec-Feb 2024
25-64	12-17	0.9656755420256516	811	35655	1406	59692	0.870715127282229	2024-01-15	Dec-Feb	Dec-Feb 2024
25-64	18-24	1.070606196860036	2510	35655	3925	59692	0.9653273489900266	2024-01-15	Dec-Feb	Dec-Feb 2024
25-64	25-64	1.1090602560677032	23620	35655	35655	59692	1	2024-01-15	Dec-Feb	Dec-Feb 2024
25-64	5-11	0.9607483807736227	470	35655	819	59692	0.8662724820561718	2024-01-15	Dec-Feb	Dec-Feb 2024
25-64	65-80	0.8550719178626623	5037	35655	9862	59692	0.7709877918575995	2024-01-15	Dec-Feb	Dec-Feb 2024
25-64	80+	0.6181840787095177	2481	35655	6719	59692	0.5573944926142772	2024-01-15	Dec-Feb	Dec-Feb 2024
5-11	0-4	3.571652016521848	64	819	1306	59692	3.2204309882905178	2024-01-15	Dec-Feb	Dec-Feb 2024
5-11	12-17	3.0065956644904013	58	819	1406	59692	2.7109398682724613	2024-01-15	Dec-Feb	Dec-Feb 2024
5-11	18-24	0.705628893399594	38	819	3925	59692	0.636240357130351	2024-01-15	Dec-Feb	Dec-Feb 2024
5-11	25-64	0.9607483807736227	470	819	35655	59692	0.8662724820561718	2024-01-15	Dec-Feb	Dec-Feb 2024
5-11	5-11	3.7376427669467964	42	819	819	59692	3.370098916175236	2024-01-15	Dec-Feb	Dec-Feb 2024
5-11	65-80	0.8203331741153684	111	819	9862	59692	0.7396651080293429	2024-01-15	Dec-Feb	Dec-Feb 2024
5-11	80+	0.39050831921794865	36	819	6719	59692	0.3521073964029145	2024-01-15	Dec-Feb	Dec-Feb 2024
65-80	0-4	0.8481234760988005	183	9862	1306	59692	0.7647226302256261	2024-01-15	Dec-Feb	Dec-Feb 2024
65-80	12-17	0.7232278415101372	168	9862	1406	59692	0.6521086997332518	2024-01-15	Dec-Feb	Dec-Feb 2024
65-80	18-24	0.794179576241302	515	9862	3925	59692	0.7160833434399265	2024-01-15	Dec-Feb	Dec-Feb 2024
65-80	25-64	0.8550719178626623	5037	9862	35655	59692	0.7709877918575995	2024-01-15	Dec-Feb	Dec-Feb 2024
65-80	5-11	0.8203331741153684	111	9862	819	59692	0.7396651080293429	2024-01-15	Dec-Feb	Dec-Feb 2024
65-80	65-80	1.4251098848966683	2322	9862	9862	59692	1.2849706561026308	2024-01-15	Dec-Feb	Dec-Feb 2024
65-80	80+	1.3746781488696413	1526	9862	6719	59692	1.2394981619337042	2024-01-15	Dec-Feb	Dec-Feb 2024
80+	0-4	0.5373973192521402	79	6719	1306	59692	0.48455195857215394	2024-01-15	Dec-Feb	Dec-Feb 2024
80+	12-17	0.5939557616381392	94	6719	1406	59692	0.5355486849236448	2024-01-15	Dec-Feb	Dec-Feb 2024
80+	18-24	0.5545464662905744	245	6719	3925	59692	0.5000147316222301	2024-01-15	Dec-Feb	Dec-Feb 2024
80+	25-64	0.6181840787095177	2481	6719	35655	59692	0.5573944926142772	2024-01-15	Dec-Feb	Dec-Feb 2024
80+	5-11	0.39050831921794865	36	6719	819	59692	0.3521073964029145	2024-01-15	Dec-Feb	Dec-Feb 2024
80+	65-80	1.3746781488696413	1526	6719	9862	59692	1.2394981619337042	2024-01-15	Dec-Feb	Dec-Feb 2024
80+	80+	2.9855942726365408	2258	6719	6719	59692	2.692003663734465	2024-01-15	Dec-Feb	Dec-Feb 2024
0-4	0-4	6.247591024460367	26	211	211	10698	5.143051510265419	2024-04-15	Mar-May	Mar-May 2024
0-4	12-17	2.8310679144513675	11	211	197	10698	2.330550776463592	2024-04-15	Mar-May	Mar-May 2024
0-4	18-24	1.3451494341812555	13	211	490	10698	1.1073344593000363	2024-04-15	Mar-May	Mar-May 2024
0-4	25-64	1.0916585410100001	90	211	4180	10698	0.8986593530296858	2024-04-15	Mar-May	Mar-May 2024
0-4	5-11	4.079479217737103	7	211	87	10698	3.3582498709879016	2024-04-15	Mar-May	Mar-May 2024
0-4	65-80	0.5612719418878808	33	211	2981	10698	0.4620421690687417	2024-04-15	Mar-May	Mar-May 2024
0-4	80+	0.6158890341559078	31	211	2552	10698	0.5070032617163905	2024-04-15	Mar-May	Mar-May 2024
12-17	0-4	2.8310679144513675	11	197	211	10698	2.330550776463592	2024-04-15	Mar-May	Mar-May 2024
12-17	12-17	2.7566028498544153	10	197	197	10698	2.269250723140968	2024-04-15	Mar-May	Mar-May 2024
12-17	18-24	2.216523360613281	20	197	490	10698	1.8246542983862106	2024-04-15	Mar-May	Mar-May 2024
12-17	25-64	1.2341959536589513	95	197	4180	10698	1.0159969400329631	2024-04-15	Mar-May	Mar-May 2024
12-17	5-11	1.8726296750102107	3	197	87	10698	1.5415591130280462	2024-04-15	Mar-May	Mar-May 2024
12-17	65-80	0.6922437706149096	38	197	2981	10698	0.5698589033747378	2024-04-15	Mar-May	Mar-May 2024
12-17	80+	0.42558638193593556	20	197	2552	10698	0.35034506512901376	2024-04-15	Mar-May	Mar-May 2024
18-24	0-4	1.3451494341812555	13	490	211	10698	1.1073344593000363	2024-04-15	Mar-May	Mar-May 2024
18-24	12-17	2.216523360613281	20	490	197	10698	1.8246542983862106	2024-04-15	Mar-May	Mar-May 2024
18-24	18-24	2.316938775510204	52	490	490	10698	1.9073168237047842	2024-04-15	Mar-May	Mar-May 2024
18-24	25-64	1.3266736646811834	254	490	4180	10698	1.0921251035885893	2024-04-15	Mar-May	Mar-May 2024
18-24	5-11	1.2547736335913675	5	490	87	10698	1.03293660004589	2024-04-15	Mar-May	Mar-May 2024
18-24	65-80	0.6664788558831785	91	490	2981	10698	0.5486490829649047	2024-04-15	Mar-May	Mar-May 2024
18-24	80+	0.47053211566758363	55	490	2552	10698	0.38734464190084733	2024-04-15	Mar-May	Mar-May 2024
25-64	0-4	1.0916585410100001	90	4180	211	10698	0.8986593530296858	2024-04-15	Mar-May	Mar-May 2024
25-64	12-17	1.2341959536589513	95	4180	197	10698	1.0159969400329631	2024-04-15	Mar-May	Mar-May 2024
25-64	18-24	1.3266736646811834	254	4180	490	10698	1.0921251035885893	2024-04-15	Mar-May	Mar-May 2024
25-64	25-64	1.214763455506971	1984	4180	4180	10698	1	2024-04-15	Mar-May	Mar-May 2024
25-64	5-11	1.2943766155199912	44	4180	87	10698	1.0655379939626142	2024-04-15	Mar-May	Mar-May 2024
25-64	65-80	0.9177873742634773	1069	4180	2981	10698	0.7555276462284146	2024-04-15	Mar-May	Mar-May 2024
25-64	80+	0.645849863508872	644	4180	2552	10698	0.5316671822658117	2024-04-15	Mar-May	Mar-May 2024
5-11	0-4	4.079479217737103	7	87	211	10698	3.3582498709879016	2024-04-15	Mar-May	Mar-May 2024
5-11	12-17	1.8726296750102107	3	87	197	10698	1.5415591130280462	2024-04-15	Mar-May	Mar-May 2024
5-11	18-24	1.2547736335913675	5	87	490	10698	1.03293660004589	2024-04-15	Mar-May	Mar-May 2024
5-11	25-64	1.2943766155199912	44	87	4180	10698	1.0655379939626142	2024-04-15	Mar-May	Mar-May 2024
5-11	5-11	11.307306117056415	8	87	87	10698	9.308236978809514	2024-04-15	Mar-May	Mar-May 2024
5-11	65-80	0.4950009061219139	12	87	2981	10698	0.4074874856317846	2024-04-15	Mar-May	Mar-May 2024
5-11	80+	0.3854763448996505	8	87	2552	10698	0.3173262606412334	2024-04-15	Mar-May	Mar-May 2024
65-80	0-4	0.5612719418878808	33	2981	211	10698	0.4620421690687417	2024-04-15	Mar-May	Mar-May 2024
65-80	12-17	0.6922437706149096	38	2981	197	10698	0.5698589033747378	2024-04-15	Mar-May	Mar-May 2024
65-80	18-24	0.6664788558831785	91	2981	490	10698	0.5486490829649047	2024-04-15	Mar-May	Mar-May 2024
65-80	25-64	0.9177873742634773	1069	2981	4180	10698	0.7555276462284146	2024-04-15	Mar-May	Mar-May 2024
65-80	5-11	0.4950009061219139	12	2981	87	10698	0.4074874856317846	2024-04-15	Mar-May	Mar-May 2024
65-80	65-80	1.146081843850368	952	2981	2981	10698	0.9434609171479073	2024-04-15	Mar-May	Mar-May 2024
65-80	80+	1.1053060448672312	786	2981	2552	10698	0.9098940537406447	2024-04-15	Mar-May	Mar-May 2024
80+	0-4	0.6158890341559078	31	2552	211	10698	0.5070032617163905	2024-04-15	Mar-May	Mar-May 2024
80+	12-17	0.42558638193593556	20	2552	197	10698	0.35034506512901376	2024-04-15	Mar-May	Mar-May 2024
80+	18-24	0.47053211566758363	55	2552	490	10698	0.38734464190084733	2024-04-15	Mar-May	Mar-May 2024
80+	25-64	0.645849863508872	644	2552	4180	10698	0.5316671822658117	2024-04-15	Mar-May	Mar-May 2024
80+	5-11	0.3854763448996505	8	2552	87	10698	0.3173262606412334	2024-04-15	Mar-May	Mar-May 2024
80+	65-80	1.1053060448672312	786	2552	2981	10698	0.9098940537406447	2024-04-15	Mar-May	Mar-May 2024
80+	80+	1.655776924607659	1008	2552	2552	10698	1.3630447286682943	2024-04-15	Mar-May	Mar-May 2024
0-4	0-4	2.619133797182067	608	12096	12096	630286	2.5205338047032813	2022-07-15	Jun-Aug	Jun-Aug 2022
0-4	12-17	1.1195582838772618	483	12096	22480	630286	1.077411357863544	2022-07-15	Jun-Aug	Jun-Aug 2022
0-4	18-24	0.9103418272982713	1105	12096	63249	630286	0.8760710705231473	2022-07-15	Jun-Aug	Jun-Aug 2022
0-4	25-64	0.968185166293819	7739	12096	416507	630286	0.9317368373778425	2022-07-15	Jun-Aug	Jun-Aug 2022
0-4	5-11	1.66811936994502	671	12096	20960	630286	1.6053212962050467	2022-07-15	Jun-Aug	Jun-Aug 2022
0-4	65-80	0.8660480637325775	1166	12096	70154	630286	0.8334447913597903	2022-07-15	Jun-Aug	Jun-Aug 2022
0-4	80+	0.679656231761581	324	12096	24840	630286	0.65406987209872125	2022-07-15	Jun-Aug	Jun-Aug 2022
12-17	0-4	1.1195582838772618	483	22480	12096	630286	1.077411357863544	2022-07-15	Jun-Aug	Jun-Aug 2022
12-17	12-17	2.2849174612308607	1832	22480	22480	630286	2.1988993873415454	2022-07-15	Jun-Aug	Jun-Aug 2022
12-17	18-24	1.0399577562139448	2346	22480	63249	630286	1.0008074741431041	2022-07-15	Jun-Aug	Jun-Aug 2022
12-17	25-64	0.9564273736813385	14208	22480	416507	630286	0.9204216789921452	2022-07-15	Jun-Aug	Jun-Aug 2022
12-17	5-11	1.4821420758231236	1108	22480	20960	630286	1.4263453090883034	2022-07-15	Jun-Aug	Jun-Aug 2022
12-17	65-80	0.7993167452803629	2000	22480	70154	630286	0.7692256421997925	2022-07-15	Jun-Aug	Jun-Aug 2022
12-17	80+	0.567750791900906	503	22480	24840	630286	0.5463772279113598	2022-07-15	Jun-Aug	Jun-Aug 2022
18-24	0-4	0.9103418272982713	1105	63249	12096	630286	0.8760710705231473	2022-07-15	Jun-Aug	Jun-Aug 2022
18-24	12-17	1.0399577562139448	2346	63249	22480	630286	1.0008074741431041	2022-07-15	Jun-Aug	Jun-Aug 2022
18-24	18-24	1.49676610237065	9500	63249	63249	630286	1.4404187990770838	2022-07-15	Jun-Aug	Jun-Aug 2022
18-24	25-64	0.9811862684702184	41010	63249	416507	630286	0.9442484996569033	2022-07-15	Jun-Aug	Jun-Aug 2022
18-24	5-11	0.8862140422157958	1864	63249	20960	630286	0.852851600789136	2022-07-15	Jun-Aug	Jun-Aug 2022
18-24	65-80	0.8349512910496676	5878	63249	70154	630286	0.8035186887495389	2022-07-15	Jun-Aug	Jun-Aug 2022
18-24	80+	0.6202144718307716	1546	63249	24840	630286	0.5968658585130622	2022-07-15	Jun-Aug	Jun-Aug 2022
25-64	0-4	0.968185166293819	7739	416507	12096	630286	0.9317368373778425	2022-07-15	Jun-Aug	Jun-Aug 2022
25-64	12-17	0.9564273736813385	14208	416507	22480	630286	0.9204216789921452	2022-07-15	Jun-Aug	Jun-Aug 2022
25-64	18-24	0.9811862684702184	41010	416507	63249	630286	0.9442484996569033	2022-07-15	Jun-Aug	Jun-Aug 2022
25-64	25-64	1.0391186947363291	286004	416507	416507	630286	1	2022-07-15	Jun-Aug	Jun-Aug 2022
25-64	5-11	0.9606641780779249	13306	416507	20960	630286	0.9244989845184994	2022-07-15	Jun-Aug	Jun-Aug 2022
25-64	65-80	0.9121358450323195	42286	416507	70154	630286	0.8777975506097204	2022-07-15	Jun-Aug	Jun-Aug 2022
25-64	80+	0.728244168962648	11954	416507	24840	630286	0.7008286663030695	2022-07-15	Jun-Aug	Jun-Aug 2022
5-11	0-4	1.66811936994502	671	20960	12096	630286	1.6053212962050467	2022-07-15	Jun-Aug	Jun-Aug 2022
5-11	12-17	1.4821420758231236	1108	20960	22480	630286	1.4263453090883034	2022-07-15	Jun-Aug	Jun-Aug 2022
5-11	18-24	0.8862140422157958	1864	20960	63249	630286	0.852851600789136	2022-07-15	Jun-Aug	Jun-Aug 2022
5-11	25-64	0.9606641780779249	13306	20960	416507	630286	0.9244989845184994	2022-07-15	Jun-Aug	Jun-Aug 2022
5-11	5-11	2.496343546504429	1740	20960	20960	630286	2.4023661196258845	2022-07-15	Jun-Aug	Jun-Aug 2022
5-11	65-80	0.7788411181061425	1817	20960	70154	630286	0.7495208411237075	2022-07-15	Jun-Aug	Jun-Aug 2022
5-11	80+	0.5496049622161989	454	20960	24840	630286	0.5289145166959568	2022-07-15	Jun-Aug	Jun-Aug 2022
65-80	0-4	0.8660480637325775	1166	70154	12096	630286	0.8334447913597903	2022-07-15	Jun-Aug	Jun-Aug 2022
65-80	12-17	0.7993167452803629	2000	70154	22480	630286	0.7692256421997925	2022-07-15	Jun-Aug	Jun-Aug 2022
65-80	18-24	0.8349512910496676	5878	70154	63249	630286	0.8035186887495389	2022-07-15	Jun-Aug	Jun-Aug 2022
65-80	25-64	0.9121358450323195	42286	70154	416507	630286	0.8777975506097204	2022-07-15	Jun-Aug	Jun-Aug 2022
65-80	5-11	0.7788411181061425	1817	70154	20960	630286	0.7495208411237075	2022-07-15	Jun-Aug	Jun-Aug 2022
65-80	65-80	1.582379629484291	12356	70154	70154	630286	1.5228093166833183	2022-07-15	Jun-Aug	Jun-Aug 2022
65-80	80+	1.6822090704567734	4651	70154	24840	630286	1.6188805754126336	2022-07-15	Jun-Aug	Jun-Aug 2022
80+	0-4	0.679656231761581	324	24840	12096	630286	0.65406987209872125	2022-07-15	Jun-Aug	Jun-Aug 2022
80+	12-17	0.567750791900906	503	24840	22480	630286	0.5463772279113598	2022-07-15	Jun-Aug	Jun-Aug 2022
80+	18-24	0.6202144718307716	1546	24840	63249	630286	0.5968658585130622	2022-07-15	Jun-Aug	Jun-Aug 2022
80+	25-64	0.728244168962648	11954	24840	416507	630286	0.7008286663030695	2022-07-15	Jun-Aug	Jun-Aug 2022
80+	5-11	0.5496049622161989	454	24840	20960	630286	0.5289145166959568	2022-07-15	Jun-Aug	Jun-Aug 2022
80+	65-80	1.6822090704567734	4651	24840	70154	630286	1.6188805754126336	2022-07-15	Jun-Aug	Jun-Aug 2022
80+	80+	5.524222477965258	5408	24840	24840	630286	5.316257426556068	2022-07-15	Jun-Aug	Jun-Aug 2022
0-4	0-4	2.4294585554514025	948	18938	18938	919114	2.3188415223299743	2022-04-15	Mar-May	Mar-May 2022
0-4	12-17	1.0504202271128966	871	18938	40243	919114	1.0025929576197663	2022-04-15	Mar-May	Mar-May 2022
0-4	18-24	0.8746418828218966	1690	18938	93776	919114	0.8348180752066555	2022-04-15	Mar-May	Mar-May 2022
0-4	25-64	0.9826332778633358	11822	18938	583895	919114	0.9378924537814736	2022-04-15	Mar-May	Mar-May 2022
0-4	5-11	1.4596328196782915	1292	18938	42959	919114	1.3931734632932318	2022-04-15	Mar-May	Mar-May 2022
0-4	65-80	0.8599201712108384	1746	18938	98542	919114	0.820766666061647	2022-04-15	Mar-May	Mar-May 2022
0-4	80+	0.6774897145125841	569	18938	40761	919114	0.6466425522831626	2022-04-15	Mar-May	Mar-May 2022
12-17	0-4	1.0504202271128966	871	40243	18938	919114	1.0025929576197663	2022-04-15	Mar-May	Mar-May 2022
12-17	12-17	2.2201766473528814	3912	40243	40243	919114	2.1190885455679864	2022-04-15	Mar-May	Mar-May 2022
12-17	18-24	0.8804316178019927	3615	40243	93776	919114	0.840344194532712	2022-04-15	Mar-May	Mar-May 2022
12-17	25-64	0.9605882531205284	24558	40243	583895	919114	0.9168511733613122	2022-04-15	Mar-May	Mar-May 2022
12-17	5-11	1.3381601270524077	2517	40243	42959	919114	1.2772316116168245	2022-04-15	Mar-May	Mar-May 2022
12-17	65-80	0.8577816383057307	3701	40243	98542	919114	0.8187255038915391	2022-04-15	Mar-May	Mar-May 2022
12-17	80+	0.5989794300110136	1069	40243	40761	919114	0.5717069633538199	2022-04-15	Mar-May	Mar-May 2022
18-24	0-4	0.8746418828218966	1690	93776	18938	919114	0.8348180752066555	2022-04-15	Mar-May	Mar-May 2022
18-24	12-17	0.8804316178019927	3615	93776	40243	919114	0.840344194532712	2022-04-15	Mar-May	Mar-May 2022
18-24	18-24	1.914538164362915	18318	93776	93776	919114	1.827366258892718	2022-04-15	Mar-May	Mar-May 2022
18-24	25-64	0.9543921572926504	56857	93776	583895	919114	0.9109371954299827	2022-04-15	Mar-May	Mar-May 2022
18-24	5-11	0.8090255649872908	3546	93776	42959	919114	0.7721893705531555	2022-04-15	Mar-May	Mar-May 2022
18-24	65-80	0.7276625126826524	7316	93776	98542	919114	0.6945309047834253	2022-04-15	Mar-May	Mar-May 2022
18-24	80+	0.5852661698144683	2434	93776	40761	919114	0.5586180892592562	2022-04-15	Mar-May	Mar-May 2022
25-64	0-4	0.9826332778633358	11822	583895	18938	919114	0.9378924537814736	2022-04-15	Mar-May	Mar-May 2022
25-64	12-17	0.9605882531205284	24558	583895	40243	919114	0.9168511733613122	2022-04-15	Mar-May	Mar-May 2022
25-64	18-24	0.9543921572926504	56857	583895	93776	919114	0.9109371954299827	2022-04-15	Mar-May	Mar-May 2022
25-64	25-64	1.0477035761418831	388632	583895	583895	919114	1	2022-04-15	Mar-May	Mar-May 2022
25-64	5-11	0.9651165077599464	26339	583895	42959	919114	0.9211732495119854	2022-04-15	Mar-May	Mar-May 2022
25-64	65-80	0.9149259234082612	57276	583895	98542	919114	0.8732679206626658	2022-04-15	Mar-May	Mar-May 2022
25-64	80+	0.710996025379316	18411	583895	40761	919114	0.6786232686133647	2022-04-15	Mar-May	Mar-May 2022
5-11	0-4	1.4596328196782915	1292	42959	18938	919114	1.3931734632932318	2022-04-15	Mar-May	Mar-May 2022
5-11	12-17	1.3381601270524077	2517	42959	40243	919114	1.2772316116168245	2022-04-15	Mar-May	Mar-May 2022
5-11	18-24	0.8090255649872908	3546	42959	93776	919114	0.7721893705531555	2022-04-15	Mar-May	Mar-May 2022
5-11	25-64	0.9651165077599464	26339	42959	583895	919114	0.9211732495119854	2022-04-15	Mar-May	Mar-May 2022
