x	y	RR	N_pairs	N_x	N_y	N_total	date	country	RR_xx	N_diag.x	RR_yy	N_diag.y	nRR	nRR_fixed
0-5y	0-5y	0.00510204081632653	0	14	14	27194	2020-03-01	USA	NA	0	NA	0	NA	0.004897128166932477
0-5y	12-17y	4.96031746031746e-4	0	14	144	27194	2020-03-01	USA	NA	0	3.9343653549382718	3	NA	4.761096828962131e-4
0-5y	18-25y	1.1346378504672898	1	14	1712	27194	2020-03-01	USA	NA	0	2.4587337731461263	265	NA	1.0890675274510528
0-5y	26-45y	1.012745791747356	4	14	7672	27194	2020-03-01	USA	NA	0	1.0418434319889178	2255	NA	0.9720710047708288
0-5y	46-65y	1.1892492711370262	6	14	9800	27194	2020-03-01	USA	NA	0	0.9955654414827155	3516	NA	1.1414855962250539
0-5y	6-11y	3.401360544217687e-4	0	14	210	27194	2020-03-01	USA	NA	0	1.8499546485260772	3	NA	3.264752111288318e-4
0-5y	65-80y	0.6446944194206059	2	14	6026	27194	2020-03-01	USA	NA	0	1.1585243400954532	1547	NA	0.6188016352801307
0-5y	81y+	1.2020420792079207	1	14	1616	27194	2020-03-01	USA	NA	0	1.395389009043231	134	NA	1.153764608289729
12-17y	0-5y	4.96031746031746e-4	0	144	14	27194	2020-03-01	USA	3.9343653549382718	3	NA	0	NA	4.761096828962131e-4
12-17y	12-17y	3.9343653549382718	3	144	144	27194	2020-03-01	USA	3.9343653549382718	3	3.9343653549382718	3	1	3.7763499141396153
12-17y	18-25y	2.5370870651609554	23	144	1712	27194	2020-03-01	USA	3.9343653549382718	3	2.4587337731461263	265	0.7936955189747411	2.435190343636915
12-17y	26-45y	1.1322965545707333	46	144	7672	27194	2020-03-01	USA	3.9343653549382718	3	1.0418434319889178	2255	0.4550840220150516	1.0868202647389513
12-17y	46-65y	0.7708056972789116	40	144	9800	27194	2020-03-01	USA	3.9343653549382718	3	0.9955654414827155	3516	0.3127044695388009	0.739847921109811
12-17y	6-11y	4.496395502645503	5	144	210	27194	2020-03-01	USA	3.9343653549382718	3	1.8499546485260772	3	1.5546842152413831	4.315807312872066
12-17y	65-80y	0.7207920769259136	23	144	6026	27194	2020-03-01	USA	3.9343653549382718	3	1.1585243400954532	1547	0.28305819292681167	0.691842991753468
12-17y	81y+	0.4674479166666667	4	144	1616	27194	2020-03-01	USA	3.9343653549382718	3	1.395389009043231	134	0.17541067927095522	0.44867386241931884
18-25y	0-5y	1.1346378504672898	1	1712	14	27194	2020-03-01	USA	2.4587337731461263	265	NA	0	NA	1.0890675274510528
18-25y	12-17y	2.5370870651609554	23	1712	144	27194	2020-03-01	USA	2.4587337731461263	265	3.9343653549382718	3	0.7936955189747411	2.435190343636915
18-25y	18-25y	2.4587337731461263	265	1712	1712	27194	2020-03-01	USA	2.4587337731461263	265	2.4587337731461263	265	1	2.3599839454305647
18-25y	26-45y	1.1304553425248263	546	1712	7672	27194	2020-03-01	USA	2.4587337731461263	265	1.0418434319889178	2255	0.64586796764062	1.085053001070175
18-25y	46-65y	0.8493263041197787	524	1712	9800	27194	2020-03-01	USA	2.4587337731461263	265	0.9955654414827155	3516	0.4917502806490591	0.8152149142970391
18-25y	6-11y	1.5884373609256788	21	1712	210	27194	2020-03-01	USA	2.4587337731461263	265	1.8499546485260772	3	0.7373182766876449	1.5246411429530182
18-25y	65-80y	0.7222554483530867	274	1712	6026	27194	2020-03-01	USA	2.4587337731461263	265	1.1585243400954532	1547	0.3993386292834065	0.6932475899706679
18-25y	81y+	0.6880598946284815	70	1712	1616	27194	2020-03-01	USA	2.4587337731461263	265	1.395389009043231	134	0.35705136214556454	0.6604254281422589
26-45y	0-5y	1.012745791747356	4	7672	14	27194	2020-03-01	USA	1.0418434319889178	2255	NA	0	NA	0.9720710047708288
26-45y	12-17y	1.1322965545707333	46	7672	144	27194	2020-03-01	USA	1.0418434319889178	2255	3.9343653549382718	3	0.4550840220150516	1.0868202647389513
26-45y	18-25y	1.1304553425248263	546	7672	1712	27194	2020-03-01	USA	1.0418434319889178	2255	2.4587337731461263	265	0.64586796764062	1.085053001070175
26-45y	26-45y	1.0418434319889178	2255	7672	7672	27194	2020-03-01	USA	1.0418434319889178	2255	1.0418434319889178	2255	1	1
26-45y	46-65y	0.9859713163158903	2726	7672	9800	27194	2020-03-01	USA	1.0418434319889178	2255	0.9955654414827155	3516	0.9678678925510411	0.9463718693639355
26-45y	6-11y	1.249042281146035	74	7672	210	27194	2020-03-01	USA	1.0418434319889178	2255	1.8499546485260772	3	0.8638516565607481	1.1988771467912094
26-45y	65-80y	0.9893760034290061	1682	7672	6026	27194	2020-03-01	USA	1.0418434319889178	2255	1.1585243400954532	1547	0.8992823981345509	0.9496398144395368
26-45y	81y+	0.9607210126317637	438	7672	1616	27194	2020-03-01	USA	1.0418434319889178	2255	1.395389009043231	134	0.7883704454753654	0.9221356905784889
46-65y	0-5y	1.1892492711370262	6	9800	14	27194	2020-03-01	USA	0.9955654414827155	3516	NA	0	NA	1.1414855962250539
46-65y	12-17y	0.7708056972789116	40	9800	144	27194	2020-03-01	USA	0.9955654414827155	3516	3.9343653549382718	3	0.3127044695388009	0.739847921109811
46-65y	18-25y	0.8493263041197787	524	9800	1712	27194	2020-03-01	USA	0.9955654414827155	3516	2.4587337731461263	265	0.4917502806490591	0.8152149142970391
46-65y	26-45y	0.9859713163158903	2726	9800	7672	27194	2020-03-01	USA	0.9955654414827155	3516	1.0418434319889178	2255	0.9678678925510411	0.9463718693639355
46-65y	46-65y	0.9955654414827155	3516	9800	9800	27194	2020-03-01	USA	0.9955654414827155	3516	0.9955654414827155	3516	1	0.9555806668398764
46-65y	6-11y	1.4535184645286685	110	9800	210	27194	2020-03-01	USA	0.9955654414827155	3516	1.8499546485260772	3	1.0216188384206255	1.3951409779047586
46-65y	65-80y	1.0365574855896558	2251	9800	6026	27194	2020-03-01	USA	0.9955654414827155	3516	1.1585243400954532	1547	0.9624088043630512	0.9949263524278585
46-65y	81y+	1.007961141139624	587	9800	1616	27194	2020-03-01	USA	0.9955654414827155	3516	1.395389009043231	134	0.8431454149349431	0.9674785195078581
6-11y	0-5y	3.401360544217687e-4	0	210	14	27194	2020-03-01	USA	1.8499546485260772	3	NA	0	NA	3.264752111288318e-4
6-11y	12-17y	4.496395502645503	5	210	144	27194	2020-03-01	USA	1.8499546485260772	3	3.9343653549382718	3	1.5546842152413831	4.315807312872066
6-11y	18-25y	1.5884373609256788	21	210	1712	27194	2020-03-01	USA	1.8499546485260772	3	2.4587337731461263	265	0.7373182766876449	1.5246411429530182
6-11y	26-45y	1.249042281146035	74	210	7672	27194	2020-03-01	USA	1.8499546485260772	3	1.0418434319889178	2255	0.8638516565607481	1.1988771467912094
6-11y	46-65y	1.4535184645286685	110	210	9800	27194	2020-03-01	USA	1.8499546485260772	3	0.9955654414827155	3516	1.0216188384206255	1.3951409779047586
6-11y	6-11y	1.8499546485260772	3	210	210	27194	2020-03-01	USA	1.8499546485260772	3	1.8499546485260772	3	1	1.775655143301566
6-11y	65-80y	0.8595775449243753	40	210	6026	27194	2020-03-01	USA	1.8499546485260772	3	1.1585243400954532	1547	0.5714366283928938	0.8250544357547178
6-11y	81y+	0.7212016737388025	9	210	1616	27194	2020-03-01	USA	1.8499546485260772	3	1.395389009043231	134	0.44445319191802746	0.6922361379790068
65-80y	0-5y	0.6446944194206059	2	6026	14	27194	2020-03-01	USA	1.1585243400954532	1547	NA	0	NA	0.6188016352801307
65-80y	12-17y	0.7207920769259136	23	6026	144	27194	2020-03-01	USA	1.1585243400954532	1547	3.9343653549382718	3	0.28305819292681167	0.691842991753468
65-80y	18-25y	0.7222554483530867	274	6026	1712	27194	2020-03-01	USA	1.1585243400954532	1547	2.4587337731461263	265	0.3993386292834065	0.6932475899706679
65-80y	26-45y	0.9893760034290061	1682	6026	7672	27194	2020-03-01	USA	1.1585243400954532	1547	1.0418434319889178	2255	0.8992823981345509	0.9496398144395368
65-80y	46-65y	1.0365574855896558	2251	6026	9800	27194	2020-03-01	USA	1.1585243400954532	1547	0.9955654414827155	3516	0.9624088043630512	0.9949263524278585
65-80y	6-11y	0.8595775449243753	40	6026	210	27194	2020-03-01	USA	1.1585243400954532	1547	1.8499546485260772	3	0.5714366283928938	0.8250544357547178
65-80y	65-80y	1.1585243400954532	1547	6026	6026	27194	2020-03-01	USA	1.1585243400954532	1547	1.1585243400954532	1547	1	1.1119946668798277
65-80y	81y+	1.1644978812932738	417	6026	1616	27194	2020-03-01	USA	1.1585243400954532	1547	1.395389009043231	134	0.9119321778759679	1.1177282934636388
81y+	0-5y	1.2020420792079207	1	1616	14	27194	2020-03-01	USA	1.395389009043231	134	NA	0	NA	1.153764608289729
81y+	12-17y	0.4674479166666667	4	1616	144	27194	2020-03-01	USA	1.395389009043231	134	3.9343653549382718	3	0.17541067927095522	0.44867386241931884
81y+	18-25y	0.6880598946284815	70	1616	1712	27194	2020-03-01	USA	1.395389009043231	134	2.4587337731461263	265	0.35705136214556454	0.6604254281422589
81y+	26-45y	0.9607210126317637	438	1616	7672	27194	2020-03-01	USA	1.395389009043231	134	1.0418434319889178	2255	0.7883704454753654	0.9221356905784889
81y+	46-65y	1.007961141139624	587	1616	9800	27194	2020-03-01	USA	1.395389009043231	134	0.9955654414827155	3516	0.8431454149349431	0.9674785195078581
81y+	6-11y	0.7212016737388025	9	1616	210	27194	2020-03-01	USA	1.395389009043231	134	1.8499546485260772	3	0.44445319191802746	0.6922361379790068
81y+	65-80y	1.1644978812932738	417	1616	6026	27194	2020-03-01	USA	1.395389009043231	134	1.1585243400954532	1547	0.9119321778759679	1.1177282934636388
81y+	81y+	1.395389009043231	134	1616	1616	27194	2020-03-01	USA	1.395389009043231	134	1.395389009043231	134	1	1.3393461687226664
26-45y	26-45y	1.109375	5	8	8	14	2020-03-01	Mexico	1.109375	5	1.109375	5	1	1
26-45y	46-65y	0.025	0	8	5	14	2020-03-01	Mexico	1.109375	5	1.16	2	0.02203249793445332	0.022535211267605635
26-45y	65-80y	5.375	3	8	1	14	2020-03-01	Mexico	1.109375	5	NA	0	NA	4.845070422535211
46-65y	26-45y	0.025	0	5	8	14	2020-03-01	Mexico	1.16	2	1.109375	5	0.02203249793445332	0.022535211267605635
46-65y	46-65y	1.16	2	5	5	14	2020-03-01	Mexico	1.16	2	1.16	2	1	1.0456338028169014
46-65y	65-80y	3	1	5	1	14	2020-03-01	Mexico	1.16	2	NA	0	NA	2.704225352112676
65-80y	26-45y	5.375	3	1	8	14	2020-03-01	Mexico	NA	0	1.109375	5	NA	4.845070422535211
65-80y	46-65y	3	1	1	5	14	2020-03-01	Mexico	NA	0	1.16	2	NA	2.704225352112676
65-80y	65-80y	1	0	1	1	14	2020-03-01	Mexico	NA	0	NA	0	NA	0.9014084507042254
0-5y	0-5y	0.0014792899408284023	0	26	26	7096	2020-03-01	Canada	NA	0	NA	0	NA	0.0011523213173070413
0-5y	12-17y	4.2735042735042735e-4	0	26	90	7096	2020-03-01	Canada	NA	0	2.6282716049382717	3	NA	3.328928249998119e-4
0-5y	18-25y	3.5755794423916694	3	26	229	7096	2020-03-01	Canada	NA	0	6.765717663660113	50	NA	2.785266295318295
0-5y	26-45y	1.3531329850120133	10	26	2017	7096	2020-03-01	Canada	NA	0	1.283747786846018	736	NA	1.0540489330357208
0-5y	46-65y	1.3293512407412744	13	26	2669	7096	2020-03-01	Canada	NA	0	1.0648641880093397	1069	NA	1.035523686476841
0-5y	6-11y	9.861932938856016e-4	0	26	39	7096	2020-03-01	Canada	NA	0	NA	0	NA	7.682142115380276e-4
0-5y	65-80y	3.023705853894533e-5	0	26	1272	7096	2020-03-01	Canada	NA	0	1.3990404107828014	319	NA	2.355373761791122e-5
0-5y	81y+	5.100999795960008e-5	0	26	754	7096	2020-03-01	Canada	NA	0	2.022024006360419	162	NA	3.9735217838173835e-5
12-17y	0-5y	4.2735042735042735e-4	0	90	26	7096	2020-03-01	Canada	2.6282716049382717	3	NA	0	NA	3.328928249998119e-4
12-17y	12-17y	2.6282716049382717	3	90	90	7096	2020-03-01	Canada	2.6282716049382717	3	2.6282716049382717	3	1	2.0473426570771767
12-17y	18-25y	1.3772440562833577	4	90	229	7096	2020-03-01	Canada	2.6282716049382717	3	6.765717663660113	50	0.29321814554059994	1.0728307151882586
12-17y	26-45y	1.2117941937971686	31	90	2017	7096	2020-03-01	Canada	2.6282716049382717	3	1.283747786846018	736	0.6195236129667874	0.9439503664301311
12-17y	46-65y	0.856687898089172	29	90	2669	7096	2020-03-01	Canada	2.6282716049382717	3	1.0648641880093397	1069	0.46393522801143555	0.6673334956190498
12-17y	6-11y	2.021937321937322	1	90	39	7096	2020-03-01	Canada	2.6282716049382717	3	NA	0	NA	1.5750269193491102
12-17y	65-80y	0.9297781271837876	15	90	1272	7096	2020-03-01	Canada	2.6282716049382717	3	1.3990404107828014	319	0.46173632614224697	0.7242685336721144
12-17y	81y+	0.6274241084585912	6	90	754	7096	2020-03-01	Canada	2.6282716049382717	3	2.022024006360419	162	0.2698426770694563	0.488744062414379
18-25y	0-5y	3.5755794423916694	3	229	26	7096	2020-03-01	Canada	6.765717663660113	50	NA	0	NA	2.785266295318295
18-25y	12-17y	1.3772440562833577	4	229	90	7096	2020-03-01	Canada	6.765717663660113	50	2.6282716049382717	3	0.29321814554059994	1.0728307151882586
18-25y	18-25y	6.765717663660113	50	229	229	7096	2020-03-01	Canada	6.765717663660113	50	6.765717663660113	50	1	5.2702857469242455
18-25y	26-45y	1.1214913410681695	73	229	2017	7096	2020-03-01	Canada	6.765717663660113	50	1.283747786846018	736	0.2786498924590459	0.8736072245339647
18-25y	46-65y	1.079725000449934	93	229	2669	7096	2020-03-01	Canada	6.765717663660113	50	1.0648641880093397	1069	0.2757713337022945	0.841072531157122
