x	y	same_state	trips_xy	RR_trips	RR_air_db1b	pass_xy_db1b	RR_air_t100	pass_xy_t100	RR_move	n_move_avg	euclid_dist	min_cbsa_dist	RR_seq	N_pairs	N_x	N_y	N_total	zlog_RR_trips	zlog_RR_air_t100	zlog_RR_air_db1b	zlog_RR_move	bea_reg_x	bea_reg_y	flight_type	fitted	residual	standardized_residual	studentized_residual	cooks_distance	leverage	predicted_RR	is_outlier_residual	is_influential	is_anomaly	anomaly_type
Ohio	Oklahoma	FALSE	272582	0.00193276924639072	0.848371720472052	1733	0.0185848958099632	1813	0.0757864829075114	10678.8145171403	1388.75373093169	939.55	3.59635732229662	2834	283235	100552	36141038	-0.598695648010527	-0.358389133774629	0.290194835003538	-0.380799512833952	Great Lakes	Southwest	Inter-regional	-0.229508052242338	0.785370887526049	3.96942628462021	3.98251300113517	0.00352292191123787	0.00133972776622456	0.589511046855659	TRUE	TRUE	TRUE	Enriched
Oklahoma	Ohio	FALSE	272582	0.00193276924639072	0.848371720472052	1733	0.0185848958099632	1813	0.0784000148708083	10678.8145171403	1388.75373093169	939.55	3.59635732229662	2834	100552	283235	36141038	-0.598695648010527	-0.358389133774629	0.290194835003538	-0.358228057005936	Southwest	Great Lakes	Inter-regional	-0.229060560134204	0.784923395417916	3.96715021244022	3.9802133347201	0.00349987498132926	0.0013325005844654	0.590118785401446	TRUE	TRUE	TRUE	Enriched
Wyoming	Rhode Island	FALSE	3495	0.0012932972221874	0.310437807128445	29	0.000594747932094931	2	0.107480052782636	176.519544947278	2939.81520585549	2762.19	0.060518199142451	152	402159	225715	36141038	-0.778524325150587	-1.35964893752785	-0.565461416124995	-0.141078232786488	Rocky Mountain	New England	Inter-regional	-0.466564416966424	-0.751549586916609	-3.80129335304053	-3.81271114315597	0.00679612596687492	0.00281401277640023	0.34153528852054	TRUE	TRUE	TRUE	Depleted
Rhode Island	Wyoming	FALSE	3495	0.0012932972221874	0.310437807128445	29	0.000594747932094931	2	0.0987498463426075	176.519544947278	2939.81520585549	2762.19	0.060518199142451	152	225715	402159	36141038	-0.778524325150587	-1.35964893752785	-0.565461416124995	-0.200583211131368	New England	Rocky Mountain	Inter-regional	-0.467744137424284	-0.750369866458749	-3.79498944233264	-3.8063475312	0.00634621174085854	0.00263692604357674	0.340608798692108	TRUE	TRUE	TRUE	Depleted
Nevada	Wyoming	FALSE	143205	0.0206165855798678	0.652229834041431	879	0.0168324831706688	717	0.325382110217459	1669.97133972423	861.870965248388	405.18	0.234776160570562	953	364789	402159	36141038	0.465905221281077	-0.387247288462653	0.0663979434663185	0.69540219709215	Far West	Rocky Mountain	Inter-regional	0.0472377262441938	-0.676583730168971	-3.41971422346141	-3.42787404919597	0.0027524495354085	0.00141019157417198	1.11490464856899	TRUE	TRUE	TRUE	Depleted
Wyoming	Nevada	FALSE	143205	0.0206165855798678	0.652229834041431	879	0.0168324831706688	717	0.310759600981072	1669.97133972423	861.870965248388	405.18	0.234776160570562	953	402159	364789	36141038	0.465905221281077	-0.387247288462653	0.0663979434663185	0.659083720941489	Rocky Mountain	Far West	Inter-regional	0.0465176915428126	-0.67586369546759	-3.41596376418875	-3.42409503164048	0.00261970759291765	0.00134521885078046	1.11305773371284	TRUE	TRUE	TRUE	Depleted
Wyoming	Massachusetts	FALSE	33148	0.00215247175849021	1.55357414156842	1229	0.000380764123475635	11	0.0831998781279872	914.872383756609	2904.2518421814	2592.94	0.0862825933129067	1638	402159	1706057	36141038	-0.550428876245347	-1.48852673123587	0.805192435083221	-0.31829124104919	Rocky Mountain	New England	Inter-regional	-0.4140592599732	-0.650017550228657	-3.28692046431972	-3.29410814804625	0.00416988463792861	0.002310427435909	0.385425762296361	TRUE	TRUE	TRUE	Depleted
Massachusetts	Wyoming	FALSE	33148	0.00215247175849021	1.55357414156842	1229	0.000380764123475635	11	0.0786631193632682	914.872383756609	2904.2518421814	2592.94	0.0862825933129067	1638	1706057	402159	36141038	-0.550428876245347	-1.48852673123587	0.805192435083221	-0.355989031361663	New England	Rocky Mountain	Inter-regional	-0.41480664037203	-0.649270169829828	-3.28316751380316	-3.29032887484967	0.0041892185924408	0.00232641218528463	0.384763050813436	TRUE	TRUE	TRUE	Depleted
Wyoming	Vermont	FALSE	4571	0.00393771299215836	2.5722674402439	76	0.130047934735864	153	0.424301229804063	404.693725509484	2793.69763865011	2561.68	0.122780816389579	352	402159	257641	36141038	-0.279237871986407	0.208586461379871	1.23443586333549	0.906858244863026	Rocky Mountain	New England	Inter-regional	-0.27978690775137	-0.631082575500243	-3.20537430887608	-3.21200398056078	0.0192762355135823	0.0111315208575118	0.525065027055165	TRUE	TRUE	TRUE	Depleted
Vermont	Wyoming	FALSE	4571	0.00393771299215836	2.5722674402439	76	0.130047934735864	153	0.392792948143053	404.693725509484	2793.69763865011	2561.68	0.122780816389579	352	257641	402159	36141038	-0.279237871986407	0.208586461379871	1.23443586333549	0.845097222678933	New England	Rocky Mountain	Inter-regional	-0.281011355577343	-0.629858127674271	-3.19788599879034	-3.20446588088201	0.0178190119501241	0.0103464673975181	0.523586746088242	TRUE	TRUE	TRUE	Depleted
