x	y	RR	N_pairs	N_x	N_y	N_total	nb_dist	euclid_dist	min_cbsa_dist
Alabama	Alabama	57.84965450926397	28176	187631	187631	72282076	0	0	0
Alabama	Alaska	0.48040442239894837	137	187631	109860	72282076	7	9201.33736920697	4008.79
Alabama	Alberta	0.13330739132377378	600	187631	1733896	72282076	6	8604.369843416433	NA
Alabama	Arizona	0.75948282246768	3030	187631	1536918	72282076	5	5237.034035054968	2041.67
Alabama	Arkansas	2.2271201976831847	1615	187631	279354	72282076	2	7510.503675258667	191.46
Alabama	British Columbia	0.06728415938487278	1008	187631	5771301	72282076	6	6259.7422380869	NA
Alabama	California	0.7137402989146038	20688	187631	11166172	72282076	5	15377.524782929324	2540.92
Alabama	Colorado	0.6879041819945444	6252	187631	3501201	72282076	4	6613.352570114284	1500.55
Alabama	Connecticut	0.6073495352631658	1473	187631	934308	72282076	6	6702.626670921671	1315.7
Alabama	Delaware	1.1521445887440638	781	187631	261138	72282076	4	7605.3358346216755	1042.59
Alabama	District of Columbia	0.9986234116288005	629	187631	242647	72282076	3	16145.028317551822	879.82
Alabama	Florida	2.283518528669526	14517	187631	2449054	72282076	1	14215.669426585056	56.49
Alabama	Georgia	5.00126029244931	8974	187631	691246	72282076	1	9757.229586892729	42.08
Alabama	Hawaii	0.5942650595205374	710	187631	460261	72282076	NA	8396.342576487761	6781.39
Alabama	Idaho	0.8968275848914204	741	187631	318299	72282076	5	10221.539047600188	2194.65
Alabama	Illinois	1.2404769490240284	3851	187631	1195944	72282076	3	1230.1967678620192	270.53
Alabama	Indiana	2.3949740113706883	2600	187631	418214	72282076	3	5553.784626968635	361.57
Alabama	Iowa	1.3298630654260735	1020	187631	295474	72282076	3	2038.9837142523668	729.28
Alabama	Kansas	1.1971787738836193	752	187631	241983	72282076	3	222.29915316783553	661.35
Alabama	Kentucky	2.647183563954152	1455	187631	211741	72282076	2	5091.921914084263	208.66
Alabama	Louisiana	3.722635716155451	4755	187631	492069	72282076	2	5074.315206798423	170.85
Alabama	Maine	1.0172735997259479	699	187631	264707	72282076	7	9550.331144631444	1661.05
Alabama	Manitoba	0.11352086969535051	52	187631	176463	72282076	5	3308.2238100811387	NA
Alabama	Maryland	0.9902743703756297	2566	187631	998222	72282076	3	6197.8046275412635	827.31
Alabama	Massachusetts	0.41903704809653686	3703	187631	3404296	72282076	6	9411.471071327627	1392.62
Alabama	Mexico	0.91508248554928	822	187631	346049	72282076	4	4463.89077847499	NA
Alabama	Michigan	0.6850703732043794	2583	187631	1452497	72282076	4	7645.153038634866	779.27
Alabama	Minnesota	0.4656153283692965	2975	187631	2461420	72282076	4	17637.967763831177	1031.45
Alabama	Mississippi	7.381035161393636	2560	187631	133613	72282076	1	11389.77247821914	61.41
Alabama	Missouri	2.3744196769674923	2070	187631	335845	72282076	2	10369.003531481518	260.12
Alabama	Montana	0.3752875286482607	288	187631	295634	72282076	5	10514.728087272237	2149.52
Alabama	Nebraska	1.0173858618945926	776	187631	293834	72282076	3	12210.666790199057	995.57
Alabama	Nevada	0.9798315113072903	1869	187631	734825	72282076	6	14719.386796113837	2464.79
