edge_pair	x	y	region_x	region_y	country_x	country_y	n_occurrences	first_date	last_date	mean_nRR	median_nRR	max_nRR
Florida_Pennsylvania	Florida	Pennsylvania	Southeast	Mideast	USA	USA	15	2020-01-01	2024-10-01	0.2822590482371458	0.22689649327411376	0.9372939707163588
Florida_New York	Florida	New York	Southeast	Mideast	USA	USA	15	2020-01-01	2024-10-01	0.2498577725442819	0.1971377455208333	0.4574049350288564
Florida_New Jersey	Florida	New Jersey	Southeast	Mideast	USA	USA	13	2020-01-01	2024-10-01	0.3918263204360316	0.3112705207228272	1.380820313632539
Connecticut_New Jersey	Connecticut	New Jersey	New England	Mideast	USA	USA	13	2020-01-01	2024-07-01	0.27677656256706545	0.201909972754116	0.9535019914495332
Florida_Texas	Florida	Texas	Southeast	Southwest	USA	USA	12	2020-01-01	2024-10-01	0.2928029741212594	0.23245285893975318	0.802894904878952
California_Texas	California	Texas	Far West	Southwest	USA	USA	12	2020-01-01	2024-10-01	0.20246086768772775	0.19816837332090526	0.3099322927528627
New Jersey_Virginia	New Jersey	Virginia	Mideast	Southeast	USA	USA	12	2020-01-01	2024-10-01	0.2007838424828591	0.19134192991550875	0.3123761833113385
California_Florida	California	Florida	Far West	Southeast	USA	USA	11	2020-01-01	2024-10-01	0.2946661794566259	0.2779605820539045	0.48506700707254785
California_New Jersey	California	New Jersey	Far West	Mideast	USA	USA	10	2020-01-01	2024-10-01	0.2573221902700112	0.23939004404508196	0.5106964938854182
Colorado_Florida	Colorado	Florida	Rocky Mountain	Southeast	USA	USA	10	2020-01-01	2024-10-01	0.24358634953009678	0.21232795852684316	0.3980957247352497
California_Colorado	California	Colorado	Far West	Rocky Mountain	USA	USA	10	2020-01-01	2024-07-01	0.21217433631667634	0.21940909170871786	0.28612595002435076
Pennsylvania_Virginia	Pennsylvania	Virginia	Mideast	Southeast	USA	USA	10	2020-01-01	2024-10-01	0.1959150688947451	0.1886998142286444	0.2770533336108176
New Jersey_Ohio	New Jersey	Ohio	Mideast	Great Lakes	USA	USA	9	2020-01-01	2024-10-01	0.403488286702817	0.24618922439420352	1.0781185882274105
North Carolina_Pennsylvania	North Carolina	Pennsylvania	Southeast	Mideast	USA	USA	9	2020-01-01	2024-10-01	0.299647798518999	0.25531064418532534	0.7098169756885822
Florida_Ohio	Florida	Ohio	Southeast	Great Lakes	USA	USA	9	2020-01-01	2024-10-01	0.2973656875121569	0.3145265989175602	0.4946462415485423
New Jersey_Texas	New Jersey	Texas	Mideast	Southwest	USA	USA	9	2022-04-01	2024-10-01	0.29721919210215214	0.23659923446860257	0.8636408220862328
Florida_Maryland	Florida	Maryland	Southeast	Mideast	USA	USA	9	2020-01-01	2024-10-01	0.2357807973694505	0.23353807331585005	0.4059131672527974
New Jersey_North Carolina	New Jersey	North Carolina	Mideast	Southeast	USA	USA	9	2020-01-01	2024-10-01	0.22448640290824937	0.16143378581903062	0.5949254028179215
California_New York	California	New York	Far West	Mideast	USA	USA	9	2020-01-01	2024-10-01	0.2050528485560685	0.21646668890529985	0.254909153451928
New York_Virginia	New York	Virginia	Mideast	Southeast	USA	USA	9	2020-01-01	2024-07-01	0.1895418129085424	0.16582613211998515	0.27384160307296834
California_Pennsylvania	California	Pennsylvania	Far West	Mideast	USA	USA	8	2020-01-01	2024-10-01	0.21992557835750276	0.19256788978235828	0.4092228816636684
