edge_pair	x	y	region_x	region_y	country_x	country_y	n_occurrences	first_date	last_date	mean_nRR	median_nRR	mean_z_x	mean_z_y	max_z
Florida_New York	Florida	New York	Southeast	Mideast	USA	USA	10	2021-01-01	2023-07-01	0.18654202493802655	0.1785011885034733	2.551751353799254	3.5505750216331524	3.503642794539516
Florida_New York	New York	Florida	Mideast	Southeast	USA	USA	10	2021-01-01	2023-07-01	0.18654202493802655	0.1785011885034733	3.550575021633153	2.551751353799254	3.503642794539516
Maryland_North Carolina	North Carolina	Maryland	Southeast	Mideast	USA	USA	9	2021-04-01	2024-01-01	0.15682939759821365	0.1435543696919249	2.6887263097957885	2.8046388502514854	2.832321228773933
Maryland_North Carolina	Maryland	North Carolina	Mideast	Southeast	USA	USA	9	2021-04-01	2024-01-01	0.15682939759821365	0.1435543696919249	2.8046388502514854	2.6887263097957885	2.832321228773932
Connecticut_New Jersey	New Jersey	Connecticut	Mideast	New England	USA	USA	8	2020-01-01	2023-10-01	0.25394828475537795	0.15248573303705415	3.487622403440601	4.418692344319261	5.980504314501507
Connecticut_New Jersey	Connecticut	New Jersey	New England	Mideast	USA	USA	8	2020-01-01	2023-10-01	0.25394828475537795	0.15248573303705415	4.41869234431926	3.487622403440601	5.980504314501506
Florida_New Jersey	Florida	New Jersey	Southeast	Mideast	USA	USA	8	2021-10-01	2024-10-01	0.4522628011889227	0.38081254806727927	2.563111258358272	3.3945709380225537	4.005531842444916
Florida_New Jersey	New Jersey	Florida	Mideast	Southeast	USA	USA	8	2021-10-01	2024-10-01	0.4522628011889227	0.38081254806727927	3.394570938022554	2.5631112583582722	4.005531842444916
British Columbia_Ontario	British Columbia	Ontario	Western Canada	Eastern Canada	Canada	Canada	8	2020-07-01	2023-10-01	0.0753362203356317	0.08276520032665263	5.508538695883775	3.076652441874222	3.911877298479917
British Columbia_Ontario	Ontario	British Columbia	Eastern Canada	Western Canada	Canada	Canada	8	2020-07-01	2023-10-01	0.0753362203356317	0.08276520032665263	3.0766524418742223	5.508538695883775	3.911877298479917
Pennsylvania_Virginia	Pennsylvania	Virginia	Mideast	Southeast	USA	USA	7	2021-01-01	2022-07-01	0.14762289086108626	0.13382517259380125	2.7679114000934977	3.1904097149779194	3.316544919412441
Pennsylvania_Virginia	Virginia	Pennsylvania	Southeast	Mideast	USA	USA	7	2021-01-01	2022-07-01	0.14762289086108626	0.13382517259380125	3.1904097149779194	2.7679114000934977	3.316544919412441
Florida_Pennsylvania	Florida	Pennsylvania	Southeast	Mideast	USA	USA	6	2020-04-01	2024-10-01	0.30231845489030973	0.19711693480617737	3.011164427067914	4.07283571307833	4.251505121870034
Florida_Pennsylvania	Pennsylvania	Florida	Mideast	Southeast	USA	USA	6	2020-04-01	2024-10-01	0.30231845489030973	0.19711693480617737	4.07283571307833	3.011164427067914	4.251505121870034
North Dakota_Wyoming	North Dakota	Wyoming	Plains	Rocky Mountain	USA	USA	5	2020-01-01	2022-01-01	0.28547245411678573	0.12655427648233775	4.739570637173674	5.39248354954907	6.985393568239334
North Dakota_Wyoming	Wyoming	North Dakota	Rocky Mountain	Plains	USA	USA	5	2020-01-01	2022-01-01	0.28547245411678573	0.12655427648233775	5.39248354954907	4.739570637173674	6.985393568239333
Alberta_Newfoundland and Labrador	Newfoundland and Labrador	Alberta	Eastern Canada	Western Canada	Canada	Canada	5	2020-10-01	2022-01-01	0.06329956311965465	0.06214362510203606	6.276005151357545	4.098982070593426	6.713696822346621
Alberta_Newfoundland and Labrador	Alberta	Newfoundland and Labrador	Western Canada	Eastern Canada	Canada	Canada	5	2020-10-01	2022-01-01	0.06329956311965465	0.06214362510203606	4.098982070593426	6.276005151357545	6.71369682234662
North Carolina_Pennsylvania	Pennsylvania	North Carolina	Mideast	Southeast	USA	USA	5	2023-01-01	2024-10-01	0.358942181261185	0.30580938719164763	2.846556994455053	2.9547518764984626	3.5448468069708063
North Carolina_Pennsylvania	North Carolina	Pennsylvania	Southeast	Mideast	USA	USA	5	2023-01-01	2024-10-01	0.358942181261185	0.30580938719164763	2.954751876498463	2.846556994455053	3.5448468069708055
Maryland_South Carolina	South Carolina	Maryland	Southeast	Mideast	USA	USA	5	2021-07-01	2024-10-01	0.11409347706694328	0.12912832477893793	2.669830561300882	2.6314074781199768	3.1847076381923816
Maryland_South Carolina	Maryland	South Carolina	Mideast	Southeast	USA	USA	5	2021-07-01	2024-10-01	0.11409347706694328	0.12912832477893793	2.6314074781199768	2.669830561300882	3.184707638192381
California_Texas	California	Texas	Far West	Southwest	USA	USA	5	2021-10-01	2022-10-01	0.20582400801710637	0.19999534129018764	2.772049126580538	2.678874448054071	2.960147547653099
California_Texas	Texas	California	Southwest	Far West	USA	USA	5	2021-10-01	2022-10-01	0.20582400801710637	0.19999534129018764	2.6788744480540716	2.772049126580538	2.960147547653099
Alberta_Ontario	Ontario	Alberta	Eastern Canada	Western Canada	Canada	Canada	4	2020-01-01	2021-10-01	0.20718037273685858	0.08892183055804254	3.928279503956216	5.085868252239695	6.054641085387248
Alberta_Ontario	Alberta	Ontario	Western Canada	Eastern Canada	Canada	Canada	4	2020-01-01	2021-10-01	0.20718037273685858	0.08892183055804254	5.085868252239695	3.9282795039562153	6.054641085387246
District of Columbia_North Carolina	District of Columbia	North Carolina	Mideast	Southeast	USA	USA	4	2021-10-01	2023-10-01	0.15083817361213428	0.17241363084576813	3.424893746018153	3.161598569716295	3.874921502939539
District of Columbia_North Carolina	North Carolina	District of Columbia	Southeast	Mideast	USA	USA	4	2021-10-01	2023-10-01	0.15083817361213428	0.17241363084576813	3.1615985697162956	3.4248937460181534	3.874921502939539
